"Week","Adj.Close"
"2008-04-04",39.856
"2008-04-11",38.762
"2008-04-18",38.474
"2008-04-25",40.464
"2008-05-02",42.074
"2008-05-09",41.268
"2008-05-16",40.708
"2008-05-23",38.132
"2008-05-30",37.79
"2008-06-06",36.442
"2008-06-13",33.404
"2008-06-20",34.052
"2008-06-27",32.238
"2008-07-03",30.5525
"2008-07-11",30.45
"2008-07-18",31.82
"2008-07-25",35.482
"2008-08-01",35.7
"2008-08-08",36.22
"2008-08-15",34.146
"2008-08-22",32.488
"2008-08-29",33.198
"2008-09-05",34.6175
"2008-09-12",36.034
"2008-09-19",35.61
"2008-09-26",37.862
"2008-10-03",41.452
"2008-10-10",35.9
"2008-10-17",35.912
"2008-10-24",34.096
"2008-10-31",33.264
"2008-11-07",35.396
"2008-11-14",31.976
"2008-11-21",24.92
"2008-11-28",26.715
"2008-12-05",26.678
"2008-12-12",29.454
"2008-12-19",27.4
"2008-12-26",26.48
"2009-01-02",27.705
"2009-01-09",25.392
"2009-01-16",22.484
"2009-01-23",19.915
"2009-01-30",23.176
"2009-02-06",22.69
"2009-02-13",23.304
"2009-02-20",18.9125
"2009-02-27",19.56
"2009-03-06",16.998
"2009-03-13",18.582
"2009-03-20",22.322
"2009-03-27",25.372
"2009-04-03",24.794
"2009-04-09",26.1825
"2009-04-17",29.614
"2009-04-24",29.114
"2009-05-01",29.988
"2009-05-08",32.972
"2009-05-15",31.826
"2009-05-22",32.054
"2009-05-29",32.7775
"2009-06-05",31.612
"2009-06-12",31.806
"2009-06-19",30.688
"2009-06-26",30.522
"2009-07-02",30.535
"2009-07-10",29.768
"2009-07-17",32.418
"2009-07-24",33.896
"2009-07-31",34.67
"2009-08-07",37.14
"2009-08-14",38.372
"2009-08-21",38.086
"2009-08-28",39.234
"2009-09-04",38.18
"2009-09-11",38.76
"2009-09-18",40.186
"2009-09-25",40.658
"2009-10-02",39.332
"2009-10-09",40.972
"2009-10-16",42.162
"2009-10-23",41.342
"2009-10-30",39.33
"2009-11-06",39.024
"2009-11-13",39.788
"2009-11-20",38.978
"2009-11-27",38.43
"2009-12-04",38.106
"2009-12-11",37.396
"2009-12-18",37.274
"2009-12-24",37.985
"2009-12-31",37.785
"2010-01-08",39.996
"2010-01-15",40.128
"2010-01-22",37.8225
"2010-01-29",35.534
"2010-02-05",35.85
"2010-02-12",35.086
"2010-02-19",36.5
"2010-02-26",37.134
"2010-03-05",38.14
"2010-03-12",38.968
"2010-03-19",39.498
"2010-03-26",40.594
"2010-04-01",40.7875
"2010-04-09",41.556
