"Week","Adj.Close"
"2008-04-04",75.436
"2008-04-11",75.082
"2008-04-18",74.768
"2008-04-25",79.866
"2008-05-02",79.602
"2008-05-09",74.002
"2008-05-16",75.174
"2008-05-23",79.784
"2008-05-30",80.6675
"2008-06-06",81.396
"2008-06-13",78.33
"2008-06-20",82.51
"2008-06-27",78.358
"2008-07-03",72.5975
"2008-07-11",71.462
"2008-07-18",69.276
"2008-07-25",72.804
"2008-08-01",76.898
"2008-08-08",78.074
"2008-08-15",87.292
"2008-08-22",83.01
"2008-08-29",82.114
"2008-09-05",79.85
"2008-09-12",78.95
"2008-09-19",77.022
"2008-09-26",71.886
"2008-10-03",68.01
"2008-10-10",59.404
"2008-10-17",53.508
"2008-10-24",50.494
"2008-10-31",55.292
"2008-11-07",52.526
"2008-11-14",44.6
"2008-11-21",37.374
"2008-11-28",42.8375
"2008-12-05",44.49
"2008-12-12",50.372
"2008-12-19",51.66
"2008-12-26",51.035
"2009-01-02",51.45
"2009-01-09",56.058
"2009-01-16",50.978
"2009-01-23",49.8875
"2009-01-30",51.45
"2009-02-06",63.106
"2009-02-13",64.318
"2009-02-20",62.4575
"2009-02-27",63.63
"2009-03-06",62.992
"2009-03-13",66.59
"2009-03-20",69.928
"2009-03-27",73
"2009-04-03",74.578
"2009-04-09",77.5625
"2009-04-17",77.234
"2009-04-24",80.116
"2009-05-01",80.958
"2009-05-08",80.178
"2009-05-15",75.888
"2009-05-22",76.678
"2009-05-29",77.7825
"2009-06-05",85.348
"2009-06-12",85.96
"2009-06-19",82.508
"2009-06-26",80.436
"2009-07-02",81.9025
"2009-07-10",77.364
"2009-07-17",83.986
"2009-07-24",89.278
"2009-07-31",85.082
"2009-08-07",85.464
"2009-08-14",84.428
"2009-08-21",83.054
"2009-08-28",83.952
"2009-09-04",79.164
"2009-09-11",82.8825
"2009-09-18",87.766
"2009-09-25",91.864
"2009-10-02",91.636
"2009-10-09",92.896
"2009-10-16",95.444
"2009-10-23",99.004
"2009-10-30",121.948
"2009-11-06",120.224
"2009-11-13",130.046
"2009-11-20",130.556
"2009-11-27",132.9275
"2009-12-04",139.082
"2009-12-11",133.832
"2009-12-18",129.072
"2009-12-24",135.9875
"2009-12-31",137.4325
"2010-01-08",132.872
