"Week","Adj Close"
1,1362.6
2,1348.69857142857
3,1388.2
4,1402.58428571429
5,1407.16571428571
6,1396.74428571429
7,1386.27
8,1352.38
9,1319.42571428571
10,1270.53142857143
11,1240.92285714286
12,1260.64857142857
13,1271.17571428571
14,1290.60857142857
15,1275.44285714286
16,1270.98142857143
17,1233.05571428571
18,1201.19142857143
19,1131.07285714286
20,957.072857142857
21,929.87
22,944.915714285714
23,910.055714285714
24,827.717142857143
25,860.327142857143
26,885.081428571429
27,884.814285714286
28,904.294285714286
29,876.448571428571
30,833.901428571429
31,841.02
32,835.798571428571
33,767.372857142857
34,698.224285714286
35,753.515714285714
36,806.328571428571
37,817.77
38,852.701428571429
39,850.977142857143
40,894.561428571429
41,902.342857142857
42,899.592857142857
43,937.171428571429
44,931.297142857143
45,909.691428571429
46,903.658571428571
47,911.785714285714
48,968.161428571429
49,993.922857142857
50,1002.04142857143
51,1014.47428571429
52,1013.28
53,1045.19428571429
54,1060.87714285714
55,1047.27285714286
56,1076.07285714286
57,1085.35857142857
58,1049.01857142857
59,1085.89285714286
60,1103.94142857143
61,1103.10714285714
62,1103.13428571429
63,1112.41
64,1128.87857142857
65,1142.86285714286
66,1111.85142857143
67,1082.49857142857
68,1077.67857142857
69,1104.45714285714
70,1127.63285714286
71,1155.40714285714
72,1167.59142857143
73,1180.93857142857
74,1200.01714285714
75,1203.74
76,1167.74714285714
77,1148.29285714286
78,1084.71714285714
79,1076.95428571429
80,1095.66285714286
81,1091.86857142857
82,1040.06857142857
83,1082.83285714286
84,1097.76857142857
85,1117.73428571429
86,1096.15714285714
87,1066.18
88,1075.65428571429
89,1115.04714285714
90,1136.86
91,1148.23142857143
92,1169.48571428571
93,1180.48285714286
94,1192.35142857143
95,1213.10142857143
96,1190.03857142857
97,1204.73428571429
98,1234.67285714286
99,1251.65857142857
100,1264.63428571429
101,1278.93428571429
102,1288.45714285714
103,1298.79857142857
104,1325.12142857143
105,1324.08285714286
106,1318.00857142857
107,1289.75285714286
108,1300.36428571429
109,1329.56857142857
110,1321.27285714286
111,1331.95
112,1352.07857142857
113,1341.48571428571
114,1328.19428571429
115,1310.72285714286
116,1276.04285714286
117,1280.65285714286
118,1327.81571428571
119,1317.87142857143
120,1330.80714285714
121,1256.24714285714
122,1165.92142857143
123,1154.44428571429
124,1194.61714285714
125,1181.66857142857
126,1173.98428571429
127,1140.78142857143
128,1192.33571428571
129,1224.71428571429
130,1254.61571428571
131,1253.52857142857
132,1209.90142857143
133,1219.90142857143
134,1240.43428571429
135,1235.01571428571
136,1267.30142857143
137,1288.76142857143
138,1316.15142857143
139,1325.80142857143
140,1348.15714285714
141,1362.27571428571
142,1363.12857142857
143,1386.41
144,1405.29714285714
145,1406.67857142857
146,1375.38285714286
147,1381.45285714286
148,1391.37857142857
149,1346.21285714286
150,1312.86571428571
151,1301.84571428571
152,1322.94
153,1336.09857142857
154,1354.97714285714
155,1349.17571428571
156,1356.95571428571
157,1382.30428571429
158,1403.68714285714
159,1413.09571428571
160,1406.38142857143
161,1442.14285714286
162,1457.20714285714
163,1446.25285714286
164,1441.77285714286
165,1437.43428571429
166,1417.78714285714
167,1373.61
168,1391.42714285714
169,1411.68428571429
170,1422.33285714286
171,1431.57571428571
172,1447.98857142857
173,1471.68285714286
174,1497.02142857143
175,1505.96428571429
176,1520.97285714286
177,1506.49
178,1539.47285714286
179,1555.72571428571
180,1558.90857142857
181,1565.23
182,1565.43142857143
183,1582.66428571429
184,1613.93285714286
185,1651.54571428571
186,1655.35
187,1631.45571428571
188,1631.64571428571
189,1594.92571428571
190,1631.67714285714
191,1682.33428571429
192,1689.57857142857
193,1699.31
194,1674.80714285714
195,1648.26142857143
196,1649.42142857143
197,1696.05857142857
198,1702.1
199,1681.59285714286
200,1702.15
201,1752.02285714286
202,1764.97571428571
203,1775.44857142857
204,1795.23
205,1798.86
206,1787.36714285714
207,1826.18571428571
208,1836.41714285714
209,1838.79285714286
210,1807.95285714286
211,1770.85142857143
212,1825.26
213,1846.80857142857
214,1870.47428571429
215,1859.93285714286
216,1860.16285714286
